year  catch biomass biomass.lse
1990  9701    NA   NA
1991 12424    NA   NA
1992  5538    NA   NA
1993  8363    NA   NA
1994 19761    NA   NA
1995 14214    NA   NA
1996 14019    NA   NA
1997 18622    NA   NA
1998  2985    NA   NA
1999  5206    NA   NA
2000 13202    NA   NA
2001 17484    NA   NA
2002 20074    NA   NA
2003  9977    NA   NA
2004  9826    NA   NA
2005  7132    NA   NA
2006  5450    NA   NA
2007 13626    NA   NA
2008 26855 4e+05 0.08
2009 47250    NA   NA
2010 10522 3e+05 0.16
2011 17326    NA   NA
2012  2240 1e+06 0.15
